alt,p_value,conf_low,conf_high,mean of x,mean of y
two.sided,0.22324608353596,-0.108,0.459,0.925,0.749
two.sided,0.346448482184719,-0.137,0.389,1.007,0.881
two.sided,0.296148437864897,-0.123,0.403,0.849,0.709
two.sided,0.00896659651229486,0.102,0.707,1.135,0.731
two.sided,9.3551283544212e-07,0.42,0.956,1.212,0.524
two.sided,0.0630563947911701,-0.015,0.55,1.009,0.742
two.sided,0.942021932880185,-0.286,0.308,0.799,0.788
two.sided,0.116332181874872,-0.055,0.497,0.9,0.679
two.sided,0.354619955895646,-0.417,0.15,0.744,0.878
two.sided,0.357002223575361,-0.142,0.392,0.95,0.825
two.sided,0.189826810420658,-0.097,0.484,1.069,0.875
two.sided,0.0231057590617416,0.046,0.622,1.066,0.732
two.sided,9.3006431760916e-05,0.298,0.881,1.108,0.518
two.sided,0.00691731566191325,0.104,0.644,1.027,0.653
two.sided,0.531246248233361,-0.199,0.384,0.82,0.727
two.sided,0.335944099627779,-0.136,0.395,0.923,0.793
two.sided,0.00786627767888304,0.104,0.677,1.14,0.75
two.sided,0.0141263538225471,0.074,0.654,0.987,0.622
two.sided,0.0520891473448629,-0.002,0.548,1.026,0.753
two.sided,0.000756387121257207,0.184,0.685,1.026,0.592
two.sided,0.0494385057039187,0.001,0.528,0.864,0.6
two.sided,0.486294824302697,-0.187,0.392,0.792,0.69
two.sided,0.0583440805800449,-0.009,0.533,1.059,0.797
two.sided,0.17090480566421,-0.09,0.505,0.936,0.729
two.sided,0.079943504449332,-0.031,0.545,0.961,0.704
two.sided,0.00380175623505799,0.134,0.688,1.162,0.751
two.sided,0.569800076806346,-0.193,0.349,0.939,0.861
two.sided,0.00210554358033665,0.161,0.717,1.096,0.657
two.sided,0.00372825258197986,0.134,0.681,1.012,0.605
two.sided,0.120029327570285,-0.054,0.464,0.98,0.775
two.sided,0.0130812458147064,0.072,0.609,0.933,0.592
two.sided,0.00905232096495688,0.088,0.61,0.943,0.594
two.sided,0.562136934693932,-0.192,0.352,0.852,0.772
two.sided,0.0230769846000719,0.045,0.599,1.019,0.697
two.sided,0.0174132181392534,0.062,0.633,1.104,0.756
two.sided,0.000150909450982267,0.274,0.846,0.971,0.41
two.sided,0.0010730651360909,0.187,0.733,1.06,0.6
two.sided,0.018609233064241,0.054,0.59,0.964,0.642
two.sided,0.268687381375946,-0.118,0.421,0.908,0.757
two.sided,0.92339286611763,-0.274,0.249,0.867,0.879
two.sided,0.000436669184575831,0.254,0.877,1.14,0.575
two.sided,0.0741894980412881,-0.025,0.527,1.008,0.757
two.sided,0.117817944682419,-0.057,0.501,0.829,0.607
two.sided,0.265626211543534,-0.134,0.482,0.862,0.688
two.sided,0.0478892814335578,0.003,0.617,1.07,0.76
two.sided,0.0332692338913725,0.023,0.542,0.966,0.683
two.sided,0.0581008704539178,-0.01,0.574,0.973,0.69
two.sided,0.00787422495329443,0.1,0.654,0.9,0.523
two.sided,0.138591089965999,-0.071,0.505,0.955,0.738
two.sided,0.0964757529889343,-0.04,0.486,0.937,0.714
two.sided,0.0901792284265863,-0.036,0.495,0.991,0.761
two.sided,0.0115244138169457,0.085,0.662,1.102,0.728
two.sided,0.0365463243022529,0.018,0.553,0.979,0.693
two.sided,0.719622553986707,-0.239,0.346,0.849,0.796
two.sided,0.027942584374002,0.036,0.616,1.021,0.695
two.sided,0.00183871026086629,0.173,0.748,1.054,0.594
two.sided,3.50512409750368e-05,0.308,0.845,1.103,0.527
two.sided,0.029588419149195,0.033,0.628,1.058,0.727
two.sided,0.0652924773113333,-0.017,0.56,0.959,0.687
two.sided,0.783484738472121,-0.31,0.234,0.746,0.784
two.sided,0.211574532700746,-0.107,0.478,0.849,0.663
two.sided,0.000572417292893668,0.201,0.721,1.165,0.704
two.sided,0.00099463674264632,0.179,0.692,1.062,0.627
two.sided,0.0783004374480548,-0.027,0.491,1.027,0.795
two.sided,0.945710789776956,-0.267,0.286,0.838,0.828
two.sided,9.62028739824775e-05,0.289,0.857,1.153,0.579
two.sided,0.000474050197420328,0.214,0.746,0.941,0.461
two.sided,0.00065425494842356,0.214,0.782,1.13,0.632
two.sided,0.222295367973454,-0.111,0.473,1.001,0.82
two.sided,0.0062802935217809,0.102,0.609,1.016,0.66
two.sided,0.142337932246356,-0.071,0.488,0.927,0.718
two.sided,0.00806626719045131,0.095,0.63,1.101,0.738
two.sided,0.968932260214132,-0.275,0.286,0.886,0.88
two.sided,0.200412395570196,-0.095,0.451,0.893,0.715
two.sided,0.000470146317326253,0.212,0.741,1.046,0.57
two.sided,0.00151723635133588,0.186,0.774,1.081,0.601
two.sided,0.000151148612485447,0.264,0.816,1.121,0.581
two.sided,0.204016488596698,-0.095,0.442,1.024,0.85
two.sided,0.0466311109724964,0.004,0.552,0.899,0.621
two.sided,0.000504073588310246,0.234,0.823,1.047,0.519
two.sided,0.015796310007472,0.066,0.628,1.084,0.737
two.sided,0.651872569218847,-0.214,0.341,0.909,0.846
two.sided,0.000859860618206361,0.186,0.706,0.988,0.542
two.sided,0.0374547004128299,0.017,0.565,0.961,0.67
two.sided,0.258884458566349,-0.126,0.467,0.808,0.638
two.sided,0.0305921953324004,0.029,0.584,0.984,0.677
two.sided,0.00231595353642896,0.155,0.702,1.026,0.597
two.sided,0.000378530725241411,0.222,0.755,1.038,0.549
two.sided,0.00433967063117351,0.123,0.656,1.019,0.629
two.sided,0.00653804292250579,0.104,0.634,1.077,0.708
two.sided,0.0028840029683004,0.13,0.621,1.093,0.718
two.sided,0.00550643414607827,0.121,0.695,1.07,0.662
two.sided,0.330231045675907,-0.148,0.437,0.876,0.731
two.sided,0.415652279375941,-0.169,0.407,0.892,0.773
two.sided,0.00301482077473544,0.141,0.679,1.061,0.652
two.sided,0.00831972897345955,0.094,0.628,1.133,0.772
two.sided,0.356559892842326,-0.15,0.414,0.813,0.681
two.sided,0.0148129291784133,0.069,0.625,1.085,0.738
two.sided,0.182354277726606,-0.09,0.468,0.978,0.788
two.sided,0.00109109073729209,0.179,0.707,1.25,0.807
