t,p_value,conf_low,conf_high
0.87,0.3848,-0.1062,0.2748
0.1286,0.8978,-0.1833,0.209
-0.7616,0.4467,-0.2755,0.1216
0.1055,0.916,-0.1946,0.2167
-0.6891,0.4911,-0.253,0.1216
-1.1686,0.2433,-0.3067,0.078
1.2035,0.2295,-0.0741,0.3079
1.3449,0.1794,-0.0612,0.3265
-0.0654,0.9479,-0.2043,0.1912
1.743,0.0821,-0.022,0.3655
0.8374,0.4029,-0.1073,0.2665
0.3803,0.7039,-0.1644,0.2433
-0.104,0.9172,-0.2275,0.2046
-0.8944,0.3716,-0.265,0.0993
-0.0172,0.9863,-0.202,0.1985
-1.5076,0.1324,-0.349,0.0461
-0.0989,0.9213,-0.202,0.1826
-0.527,0.5985,-0.2564,0.148
-0.3142,0.7536,-0.2276,0.1649
-1.0922,0.2754,-0.3068,0.0877
-0.6683,0.5043,-0.2585,0.1273
-1.4804,0.1396,-0.3467,0.0488
-0.9557,0.3398,-0.2996,0.1036
1.2037,0.2294,-0.0761,0.3166
0.1673,0.8672,-0.1884,0.2235
-0.7851,0.4328,-0.2689,0.1154
0.9438,0.3458,-0.1002,0.2852
-0.376,0.7071,-0.2225,0.1511
1.3291,0.1846,-0.0652,0.3372
-0.8469,0.3975,-0.2973,0.1183
0.8487,0.3965,-0.1061,0.2674
1.2984,0.1949,-0.0652,0.3188
-0.6773,0.4986,-0.2515,0.1226
0.0271,0.9784,-0.1999,0.2055
-0.9864,0.3246,-0.3094,0.1027
0.8334,0.4051,-0.1155,0.2855
-0.3519,0.7251,-0.232,0.1616
-0.7732,0.4398,-0.2582,0.1124
-0.1624,0.8711,-0.2132,0.1806
0.8863,0.376,-0.1049,0.277
0.4903,0.6242,-0.1385,0.2306
0.2371,0.8127,-0.1706,0.2173
-1.887,0.0599,-0.413,0.0085
-1.1099,0.2677,-0.3166,0.0881
-2.0347,0.0425,-0.3854,-0.0066
0.224,0.8229,-0.1714,0.2155
0.4748,0.6352,-0.1548,0.2534
-2.7696,0.0059,-0.4794,-0.0814
-0.4875,0.6262,-0.255,0.1537
1.8228,0.0691,-0.0142,0.3753
2.0801,0.0382,0.0116,0.4099
-1.1455,0.2527,-0.3073,0.081
0.2563,0.7979,-0.1686,0.2191
1.2433,0.2145,-0.0705,0.3132
0.0086,0.9931,-0.1826,0.1842
-1.6444,0.1009,-0.3603,0.0321
1.1437,0.2534,-0.0842,0.3183
1.594,0.1117,-0.0363,0.3471
-0.8401,0.4013,-0.2913,0.1169
0.2845,0.7761,-0.1741,0.233
0.3182,0.7505,-0.1576,0.2185
1.0713,0.2847,-0.0886,0.3006
-1.0145,0.311,-0.2888,0.0922
-1.1227,0.2623,-0.3006,0.0821
1.6835,0.0931,-0.0289,0.3731
1.3072,0.1919,-0.069,0.3426
0.1888,0.8503,-0.1768,0.2144
-0.1555,0.8765,-0.2209,0.1885
0.8002,0.4241,-0.1185,0.2811
-1.4648,0.1438,-0.3374,0.0493
-0.458,0.6472,-0.2343,0.1458
-1.0753,0.2829,-0.3291,0.0964
-2.4495,0.0147,-0.4355,-0.0477
-1.2799,0.2013,-0.3322,0.0702
1.2882,0.1984,-0.067,0.3219
0.1182,0.906,-0.1926,0.2172
-2.3484,0.0193,-0.4362,-0.0387
-0.1549,0.877,-0.2188,0.1868
0.7222,0.4706,-0.1241,0.2682
-1.0432,0.2975,-0.2932,0.0899
-0.3504,0.7263,-0.2338,0.1631
0.2735,0.7846,-0.1733,0.2294
-0.0102,0.9919,-0.1917,0.1897
-0.4624,0.644,-0.2476,0.1533
0.4902,0.6243,-0.1439,0.2395
-0.364,0.7161,-0.227,0.1561
-0.0344,0.9726,-0.2042,0.1971
-0.1056,0.916,-0.2104,0.1889
-0.0986,0.9215,-0.2104,0.1903
0.3831,0.7018,-0.1583,0.2349
-0.1447,0.885,-0.2024,0.1746
-1.3462,0.179,-0.3343,0.0626
0.2621,0.7934,-0.1654,0.2163
-1.936,0.0536,-0.3894,0.003
2.2344,0.026,0.0277,0.4339
-0.4131,0.6798,-0.2348,0.1532
-1.2867,0.199,-0.3278,0.0685
-1.0269,0.3051,-0.3049,0.0957
-0.6277,0.5306,-0.2702,0.1394
0.0209,0.9834,-0.1979,0.2022
