alt,p_value,conf_low,conf_high,mean of x,mean of y
two.sided,0.712421590211012,-0.324,0.222,1.037,1.088
two.sided,0.0131226897460244,0.071,0.601,1.146,0.81
two.sided,0.535467626791253,-0.196,0.376,1.054,0.964
two.sided,0.962042351007636,-0.278,0.265,0.993,0.999
two.sided,0.432770777937951,-0.169,0.392,1.032,0.92
two.sided,0.0090074743683132,0.094,0.652,1.239,0.866
two.sided,0.970002323605143,-0.308,0.296,1.044,1.049
two.sided,0.780623015116953,-0.242,0.322,1.056,1.016
two.sided,0.011531401630145,0.079,0.615,1.127,0.78
two.sided,0.680973436690723,-0.206,0.314,1.047,0.992
two.sided,0.630947901688727,-0.198,0.326,0.967,0.903
two.sided,0.674357556578777,-0.345,0.224,1.019,1.08
two.sided,0.200979284317842,-0.432,0.091,0.943,1.113
two.sided,0.410609156932809,-0.163,0.397,0.97,0.853
two.sided,0.383035568815523,-0.15,0.388,1.247,1.128
two.sided,0.979392424363683,-0.278,0.286,1.057,1.053
two.sided,0.722313910338307,-0.237,0.341,1.082,1.03
two.sided,0.748307069962771,-0.317,0.228,1.04,1.085
two.sided,0.671531597901256,-0.333,0.215,1.118,1.177
two.sided,0.238201778631924,-0.11,0.441,1.058,0.893
two.sided,0.0282306249865054,-0.572,-0.033,0.849,1.151
two.sided,0.850104203046325,-0.234,0.283,0.933,0.908
two.sided,0.756949648645217,-0.248,0.341,1.109,1.063
two.sided,0.294840161658267,-0.436,0.133,0.971,1.122
two.sided,0.651054150970128,-0.248,0.396,1.072,0.998
two.sided,0.466901478747835,-0.184,0.399,1.1,0.993
two.sided,0.419268667571113,-0.341,0.143,0.89,0.989
two.sided,0.888207121592967,-0.255,0.294,1.032,1.013
two.sided,0.578144623419395,-0.208,0.372,1.018,0.936
two.sided,0.820639928758156,-0.247,0.311,0.994,0.962
two.sided,0.468333415911118,-0.181,0.392,0.943,0.837
two.sided,0.54151250697859,-0.36,0.19,0.999,1.084
two.sided,0.129538065156181,-0.434,0.056,0.902,1.091
two.sided,0.933138810595229,-0.311,0.286,1,1.013
two.sided,0.556500965748076,-0.361,0.195,0.92,1.003
two.sided,0.2985687773872,-0.14,0.453,1.094,0.938
two.sided,0.307234610313027,-0.13,0.411,1.04,0.9
two.sided,0.0150194159989592,0.069,0.634,1.177,0.826
two.sided,0.66053487954884,-0.33,0.21,0.876,0.936
two.sided,0.1193120252261,-0.06,0.518,1.13,0.901
two.sided,0.642090440839316,-0.208,0.337,1.075,1.011
two.sided,0.94048347540235,-0.266,0.287,1.114,1.104
two.sided,0.0776242561174137,-0.029,0.554,1.091,0.829
two.sided,0.445612004820762,-0.164,0.371,1.161,1.057
two.sided,0.193555144844338,-0.097,0.474,1.073,0.884
two.sided,0.384966229737677,-0.413,0.16,1.013,1.14
two.sided,0.19876994582946,-0.093,0.443,1.164,0.989
two.sided,0.805081703183385,-0.253,0.326,0.975,0.938
two.sided,0.484454332619288,-0.392,0.186,0.895,0.997
two.sided,0.961542766986157,-0.289,0.304,0.932,0.925
two.sided,0.514980995931411,-0.178,0.354,0.933,0.845
two.sided,0.916146494536569,-0.265,0.295,0.973,0.958
two.sided,0.0147281939305724,-0.603,-0.066,0.896,1.23
two.sided,0.790443022871195,-0.313,0.238,0.952,0.989
two.sided,0.847030917707336,-0.284,0.233,0.889,0.914
two.sided,0.317240775468612,-0.41,0.134,0.868,1.006
two.sided,0.970146992181216,-0.301,0.29,1.038,1.043
two.sided,0.116369849889805,-0.494,0.055,0.795,1.014
two.sided,0.138127903329278,-0.073,0.524,1.172,0.947
two.sided,0.930157986047204,-0.304,0.278,1.143,1.156
two.sided,0.0590544928643859,-0.01,0.515,1.045,0.792
two.sided,0.0926499574479589,-0.038,0.499,0.953,0.723
two.sided,0.0582945738536964,-0.009,0.534,1.049,0.787
two.sided,0.0870290557639638,-0.035,0.513,0.911,0.672
two.sided,0.0236019091408507,0.042,0.577,0.983,0.674
two.sided,0.61802582550545,-0.196,0.33,0.926,0.86
two.sided,0.193944568365328,-0.099,0.484,0.97,0.778
two.sided,0.0330352570158532,0.025,0.595,1.026,0.716
two.sided,0.00583557105430608,0.12,0.702,0.993,0.582
two.sided,0.00456732569214775,0.133,0.72,1.105,0.678
two.sided,0.204240939335508,-0.099,0.461,1.024,0.844
two.sided,0.000487245689867839,0.23,0.805,1.108,0.59
two.sided,0.259361120600077,-0.123,0.455,0.898,0.732
two.sided,0.264136367885272,-0.117,0.423,0.927,0.774
two.sided,0.15378023718607,-0.072,0.451,0.959,0.769
two.sided,0.0194678698418734,0.052,0.583,1.095,0.778
two.sided,0.0167854570237332,0.062,0.615,1.041,0.703
two.sided,0.0427652173570776,0.01,0.576,1.035,0.742
two.sided,0.00485976516495849,0.117,0.643,1.188,0.809
two.sided,0.0708788127314192,-0.022,0.536,1.041,0.784
two.sided,0.408985178647297,-0.158,0.386,0.993,0.879
two.sided,8.88370105139374e-05,0.257,0.757,1.144,0.637
two.sided,0.00357771022689334,0.13,0.654,1.043,0.651
two.sided,0.746090566857094,-0.24,0.334,0.847,0.8
two.sided,0.0302773376039567,0.032,0.632,0.943,0.611
two.sided,0.0960815204218755,-0.045,0.553,1.106,0.852
two.sided,0.256257984545283,-0.124,0.461,0.932,0.764
two.sided,0.100334233804545,-0.046,0.52,1.081,0.844
two.sided,0.119241863250518,-0.058,0.5,0.829,0.608
two.sided,0.012617675916187,0.072,0.591,1.08,0.749
two.sided,0.000990967760602379,0.19,0.735,1.238,0.776
two.sided,0.128803582045462,-0.062,0.489,1.091,0.878
two.sided,0.000330881430555765,0.234,0.784,1.092,0.583
two.sided,0.836210617915573,-0.332,0.269,0.772,0.804
two.sided,0.5785539016686,-0.22,0.393,0.731,0.645
two.sided,0.217446916707339,-0.095,0.417,1.049,0.888
two.sided,0.00310930347999766,0.157,0.762,1.126,0.667
two.sided,0.0619627547531817,-0.013,0.54,1.079,0.815
two.sided,0.758448714890781,-0.298,0.217,0.892,0.932
two.sided,0.538269773453262,-0.2,0.383,0.777,0.685
