file,t-value,p-value,con$_{hi}$,con$_{lo}$,,file,t-value,p-value,con$_{hi}$,con$_{lo}$
meanfilesB1,0.525,0.600,-0.208,0.359,,meanfilesB55,1.535,0.126,-0.065,0.517
meanfilesB10,0.185,0.853,-0.242,0.293,,meanfilesB56,2.472,0.014,0.072,0.648
meanfilesB100,2.567,0.011,0.079,0.607,,meanfilesB57,3.500,0.001,0.208,0.745
meanfilesB11,0.637,0.525,-0.197,0.385,,meanfilesB58,1.529,0.128,-0.067,0.529
meanfilesB12,1.604,0.110,-0.054,0.522,,meanfilesB59,1.171,0.243,-0.118,0.461
meanfilesB13,3.314,0.001,0.198,0.782,,meanfilesB6,1.171,0.243,-0.115,0.451
meanfilesB14,1.999,0.047,0.003,0.544,,meanfilesB60,-1.001,0.318,-0.134,0.410
meanfilesB15,-0.050,0.960,-0.284,0.299,,meanfilesB61,0.579,0.563,-0.207,0.378
meanfilesB16,0.221,0.825,-0.236,0.295,,meanfilesB62,2.742,0.007,0.101,0.621
meanfilesB17,1.997,0.047,0.003,0.577,,meanfilesB63,2.575,0.011,0.078,0.593
meanfilesB18,1.796,0.074,-0.026,0.555,,meanfilesB64,1.007,0.315,-0.127,0.391
meanfilesB19,1.238,0.217,-0.103,0.449,,meanfilesB65,-0.646,0.519,-0.186,0.367
meanfilesB2,0.194,0.846,-0.238,0.289,,meanfilesB66,3.287,0.001,0.189,0.758
meanfilesB20,2.634,0.009,0.084,0.585,,meanfilesB67,2.813,0.005,0.113,0.646
meanfilesB21,1.229,0.221,-0.100,0.428,,meanfilesB68,2.768,0.006,0.114,0.682
meanfilesB22,0.016,0.987,-0.287,0.292,,meanfilesB69,0.549,0.584,-0.211,0.374
meanfilesB23,1.177,0.241,-0.110,0.434,,meanfilesB7,-0.591,0.555,-0.208,0.387
meanfilesB24,0.712,0.478,-0.191,0.405,,meanfilesB70,1.984,0.049,0.001,0.509
meanfilesB25,1.075,0.284,-0.131,0.445,,meanfilesB71,0.767,0.444,-0.171,0.388
meanfilesB26,2.216,0.028,0.034,0.588,,meanfilesB72,1.938,0.054,-0.005,0.530
meanfilesB27,-0.159,0.874,-0.249,0.293,,meanfilesB73,-0.663,0.508,-0.187,0.376
meanfilesB28,2.407,0.017,0.061,0.618,,meanfilesB74,0.562,0.575,-0.195,0.351
meanfilesB29,2.215,0.028,0.033,0.582,,meanfilesB75,2.810,0.005,0.112,0.641
meanfilesB3,0.298,0.766,-0.224,0.303,,meanfilesB76,2.546,0.012,0.085,0.675
meanfilesB30,0.800,0.425,-0.154,0.364,,meanfilesB77,3.148,0.002,0.164,0.716
meanfilesB31,1.769,0.078,-0.028,0.509,,meanfilesB78,0.540,0.590,-0.195,0.342
meanfilesB32,1.881,0.061,-0.012,0.510,,meanfilesB79,1.282,0.201,-0.096,0.452
meanfilesB33,-0.144,0.886,-0.253,0.292,,meanfilesB8,0.862,0.389,-0.156,0.397
meanfilesB34,1.578,0.116,-0.056,0.499,,meanfilesB80,2.868,0.005,0.134,0.724
meanfilesB35,1.708,0.089,-0.039,0.534,,meanfilesB81,1.733,0.085,-0.034,0.528
meanfilesB36,3.175,0.002,0.174,0.747,,meanfilesB82,-0.260,0.795,-0.241,0.314
meanfilesB37,2.598,0.010,0.086,0.634,,meanfilesB83,2.626,0.009,0.086,0.606
meanfilesB38,1.636,0.103,-0.046,0.490,,meanfilesB84,1.375,0.171,-0.083,0.465
meanfilesB39,0.378,0.706,-0.218,0.322,,meanfilesB85,0.468,0.640,-0.227,0.367
meanfilesB4,1.987,0.048,0.002,0.607,,meanfilesB86,1.467,0.144,-0.071,0.484
meanfilesB40,-0.850,0.396,-0.149,0.375,,meanfilesB87,2.366,0.019,0.054,0.603
meanfilesB41,2.944,0.004,0.153,0.777,,meanfilesB88,2.876,0.004,0.122,0.655
meanfilesB42,1.080,0.282,-0.125,0.427,,meanfilesB89,2.145,0.033,0.023,0.556
meanfilesB43,0.863,0.389,-0.157,0.401,,meanfilesB9,-1.623,0.106,-0.050,0.517
meanfilesB44,0.475,0.635,-0.234,0.382,,meanfilesB90,2.004,0.046,0.004,0.535
meanfilesB45,1.349,0.179,-0.097,0.518,,meanfilesB91,2.214,0.028,0.030,0.521
meanfilesB46,1.384,0.168,-0.078,0.442,,meanfilesB92,2.119,0.035,0.021,0.595
meanfilesB47,1.231,0.220,-0.110,0.475,,meanfilesB93,0.302,0.763,-0.248,0.338
meanfilesB48,1.973,0.050,0.000,0.554,,meanfilesB94,0.131,0.896,-0.269,0.307
meanfilesB49,0.802,0.423,-0.171,0.405,,meanfilesB95,2.270,0.024,0.040,0.579
meanfilesB5,4.328,0.000,0.320,0.856,,meanfilesB96,1.927,0.055,-0.006,0.528
meanfilesB50,0.921,0.358,-0.141,0.387,,meanfilesB97,0.224,0.823,-0.250,0.314
meanfilesB51,0.961,0.338,-0.137,0.395,,meanfilesB98,1.750,0.082,-0.032,0.525
meanfilesB52,1.867,0.063,-0.016,0.562,,meanfilesB99,0.631,0.529,-0.190,0.369
meanfilesB53,1.368,0.173,-0.082,0.453,,,,,,
meanfilesB54,-0.315,0.753,-0.246,0.339,,,,,Total,39.000
