file,t-value,p-value,con$_{hi}$,con$_{lo}$,,file,t-value,p-value,con$_{hi}$,con$_{lo}$
meanfilesC1,1.222,0.223,-0.108,0.459,,meanfilesC55,2.214,0.028,0.035,0.617
meanfilesC10,0.923,0.357,-0.142,0.393,,meanfilesC56,3.158,0.002,0.172,0.748
meanfilesC100,3.315,0.001,0.179,0.707,,meanfilesC57,4.235,0.000,0.308,0.845
meanfilesC11,1.316,0.190,-0.097,0.485,,meanfilesC58,2.191,0.030,0.033,0.629
meanfilesC12,2.289,0.023,0.046,0.622,,meanfilesC59,1.854,0.065,-0.018,0.561
meanfilesC13,3.990,0.000,0.298,0.882,,meanfilesC6,1.869,0.063,-0.015,0.551
meanfilesC14,2.729,0.007,0.103,0.644,,meanfilesC60,-0.275,0.783,-0.234,0.310
meanfilesC15,0.627,0.531,-0.199,0.384,,meanfilesC61,1.253,0.212,-0.107,0.478
meanfilesC16,0.965,0.336,-0.136,0.395,,meanfilesC62,3.501,0.001,0.201,0.721
meanfilesC17,2.685,0.008,0.103,0.677,,meanfilesC63,3.342,0.001,0.178,0.693
meanfilesC18,2.476,0.014,0.074,0.655,,meanfilesC64,1.770,0.078,-0.027,0.491
meanfilesC19,1.954,0.052,-0.003,0.549,,meanfilesC65,0.068,0.946,-0.267,0.286
meanfilesC2,0.944,0.346,-0.138,0.389,,meanfilesC66,3.981,0.000,0.289,0.858
meanfilesC20,3.422,0.001,0.184,0.685,,meanfilesC67,3.554,0.000,0.213,0.746
meanfilesC21,1.977,0.049,0.000,0.528,,meanfilesC68,3.463,0.001,0.214,0.782
meanfilesC22,0.698,0.486,-0.187,0.392,,meanfilesC69,1.224,0.222,-0.111,0.474
meanfilesC23,1.904,0.058,-0.010,0.534,,meanfilesC7,0.073,0.942,-0.287,0.308
meanfilesC24,1.374,0.171,-0.091,0.505,,meanfilesC70,2.762,0.006,0.101,0.609
meanfilesC25,1.760,0.080,-0.031,0.545,,meanfilesC71,1.473,0.142,-0.071,0.488
meanfilesC26,2.929,0.004,0.134,0.688,,meanfilesC72,2.676,0.008,0.095,0.630
meanfilesC27,0.569,0.570,-0.193,0.349,,meanfilesC73,0.039,0.969,-0.276,0.287
meanfilesC28,3.116,0.002,0.161,0.718,,meanfilesC74,1.285,0.200,-0.095,0.451
meanfilesC29,2.935,0.004,0.133,0.682,,meanfilesC75,3.557,0.000,0.212,0.741
meanfilesC3,1.047,0.296,-0.124,0.403,,meanfilesC76,3.216,0.002,0.185,0.775
meanfilesC30,1.561,0.120,-0.054,0.464,,meanfilesC77,3.864,0.000,0.264,0.816
meanfilesC31,2.504,0.013,0.072,0.609,,meanfilesC78,1.274,0.204,-0.095,0.442
meanfilesC32,2.636,0.009,0.088,0.610,,meanfilesC79,2.002,0.047,0.004,0.552
meanfilesC33,0.581,0.562,-0.192,0.353,,meanfilesC8,1.577,0.116,-0.056,0.497
meanfilesC34,2.290,0.023,0.044,0.599,,meanfilesC80,3.537,0.001,0.234,0.824
meanfilesC35,2.398,0.017,0.061,0.634,,meanfilesC81,2.435,0.016,0.066,0.628
meanfilesC36,3.864,0.000,0.274,0.847,,meanfilesC82,0.452,0.652,-0.214,0.341
meanfilesC37,3.320,0.001,0.186,0.734,,meanfilesC83,3.384,0.001,0.186,0.706
meanfilesC38,2.373,0.019,0.054,0.590,,meanfilesC84,2.095,0.037,0.017,0.565
meanfilesC39,1.109,0.269,-0.118,0.422,,meanfilesC85,1.132,0.259,-0.127,0.467
meanfilesC4,2.639,0.009,0.102,0.707,,meanfilesC86,2.178,0.031,0.029,0.584
meanfilesC40,-0.096,0.923,-0.249,0.275,,meanfilesC87,3.086,0.002,0.154,0.703
meanfilesC41,3.577,0.000,0.253,0.877,,meanfilesC88,3.617,0.000,0.222,0.755
meanfilesC42,1.795,0.074,-0.025,0.527,,meanfilesC89,2.886,0.004,0.123,0.656
meanfilesC43,1.571,0.118,-0.057,0.501,,meanfilesC9,-0.928,0.355,-0.150,0.417
meanfilesC44,1.116,0.266,-0.134,0.482,,meanfilesC90,2.749,0.007,0.104,0.635
meanfilesC45,1.991,0.048,0.003,0.618,,meanfilesC91,3.017,0.003,0.130,0.621
meanfilesC46,2.144,0.033,0.022,0.542,,meanfilesC92,2.807,0.006,0.121,0.695
meanfilesC47,1.906,0.058,-0.010,0.575,,meanfilesC93,0.976,0.330,-0.148,0.438
meanfilesC48,2.685,0.008,0.100,0.654,,meanfilesC94,0.816,0.416,-0.169,0.407
meanfilesC49,1.487,0.139,-0.071,0.505,,meanfilesC95,3.003,0.003,0.140,0.679
meanfilesC5,5.064,0.000,0.420,0.956,,meanfilesC96,2.666,0.008,0.094,0.628
meanfilesC50,1.670,0.096,-0.041,0.487,,meanfilesC97,0.924,0.357,-0.150,0.414
meanfilesC51,1.703,0.090,-0.037,0.495,,meanfilesC98,2.458,0.015,0.068,0.625
meanfilesC52,2.550,0.012,0.084,0.662,,meanfilesC99,1.338,0.182,-0.090,0.469
meanfilesC53,2.105,0.037,0.018,0.553,,,,,,
meanfilesC54,0.359,0.720,-0.239,0.346,,,,,Total,55.000
