file,t-value,p-value,con$_{hi}$,con$_{lo}$,,file,t-value,p-value,con$_{hi}$,con$_{lo}$
meanfilesD1,0.870,0.385,-0.107,0.276,,meanfilesD55,0.009,0.993,-0.184,0.185
meanfilesD10,1.743,0.082,-0.023,0.367,,meanfilesD56,-1.644,0.101,-0.033,0.362
meanfilesD100,0.021,0.983,-0.199,0.204,,meanfilesD57,1.144,0.253,-0.086,0.320
meanfilesD11,0.837,0.403,-0.109,0.268,,meanfilesD58,1.594,0.112,-0.038,0.348
meanfilesD12,0.380,0.704,-0.166,0.245,,meanfilesD59,-0.840,0.401,-0.118,0.293
meanfilesD13,-0.104,0.917,-0.206,0.229,,meanfilesD6,-1.169,0.243,-0.079,0.308
meanfilesD14,-0.894,0.372,-0.101,0.266,,meanfilesD60,0.285,0.776,-0.175,0.234
meanfilesD15,-0.017,0.986,-0.200,0.203,,meanfilesD61,0.318,0.751,-0.159,0.220
meanfilesD16,-1.508,0.132,-0.047,0.350,,meanfilesD62,1.071,0.285,-0.090,0.302
meanfilesD17,-0.099,0.921,-0.184,0.203,,meanfilesD63,-1.014,0.311,-0.093,0.290
meanfilesD18,-0.527,0.598,-0.149,0.258,,meanfilesD64,-1.123,0.262,-0.083,0.302
meanfilesD19,-0.314,0.754,-0.166,0.229,,meanfilesD65,1.684,0.093,-0.030,0.374
meanfilesD2,0.129,0.898,-0.185,0.210,,meanfilesD66,1.307,0.192,-0.070,0.344
meanfilesD20,-1.092,0.275,-0.089,0.308,,meanfilesD67,0.189,0.850,-0.178,0.216
meanfilesD21,-0.668,0.504,-0.129,0.260,,meanfilesD68,-0.155,0.877,-0.190,0.222
meanfilesD22,-1.480,0.140,-0.050,0.348,,meanfilesD69,0.800,0.424,-0.120,0.282
meanfilesD23,-0.956,0.340,-0.105,0.301,,meanfilesD7,1.204,0.229,-0.075,0.309
meanfilesD24,1.204,0.229,-0.077,0.318,,meanfilesD70,-1.465,0.144,-0.051,0.339
meanfilesD25,0.167,0.867,-0.190,0.225,,meanfilesD71,-0.458,0.647,-0.147,0.236
meanfilesD26,-0.785,0.433,-0.117,0.270,,meanfilesD72,-1.075,0.283,-0.098,0.331
meanfilesD27,0.944,0.346,-0.101,0.287,,meanfilesD73,-2.449,0.015,0.046,0.437
meanfilesD28,-0.376,0.707,-0.152,0.224,,meanfilesD74,-1.280,0.201,-0.072,0.334
meanfilesD29,1.329,0.185,-0.067,0.339,,meanfilesD75,1.288,0.198,-0.068,0.323
meanfilesD3,-0.762,0.447,-0.123,0.277,,meanfilesD76,0.118,0.906,-0.194,0.219
meanfilesD30,-0.847,0.398,-0.120,0.299,,meanfilesD77,-2.348,0.019,0.037,0.438
meanfilesD31,0.849,0.397,-0.107,0.269,,meanfilesD78,-0.155,0.877,-0.188,0.220
meanfilesD32,1.298,0.195,-0.066,0.320,,meanfilesD79,0.722,0.471,-0.125,0.270
meanfilesD33,-0.677,0.499,-0.124,0.253,,meanfilesD8,1.345,0.179,-0.063,0.328
meanfilesD34,0.027,0.978,-0.201,0.207,,meanfilesD80,-1.043,0.297,-0.091,0.294
meanfilesD35,-0.986,0.325,-0.104,0.311,,meanfilesD81,-0.350,0.726,-0.164,0.235
meanfilesD36,0.833,0.405,-0.117,0.287,,meanfilesD82,0.274,0.785,-0.175,0.231
meanfilesD37,-0.352,0.725,-0.163,0.233,,meanfilesD83,-0.010,0.992,-0.191,0.193
meanfilesD38,-0.773,0.440,-0.114,0.259,,meanfilesD84,-0.462,0.644,-0.155,0.249
meanfilesD39,-0.162,0.871,-0.182,0.214,,meanfilesD85,0.490,0.624,-0.145,0.241
meanfilesD4,0.106,0.916,-0.196,0.218,,meanfilesD86,-0.364,0.716,-0.157,0.228
meanfilesD40,0.886,0.376,-0.106,0.278,,meanfilesD87,-0.034,0.973,-0.199,0.206
meanfilesD41,0.490,0.624,-0.140,0.232,,meanfilesD88,-0.106,0.916,-0.190,0.212
meanfilesD42,0.237,0.813,-0.172,0.219,,meanfilesD89,-0.099,0.921,-0.192,0.212
meanfilesD43,-1.887,0.060,-0.010,0.414,,meanfilesD9,-0.065,0.948,-0.192,0.206
meanfilesD44,-1.110,0.268,-0.089,0.318,,meanfilesD90,0.383,0.702,-0.160,0.236
meanfilesD45,-2.035,0.043,0.005,0.387,,meanfilesD91,-0.145,0.885,-0.176,0.204
meanfilesD46,0.224,0.823,-0.173,0.217,,meanfilesD92,-1.346,0.179,-0.064,0.336
meanfilesD47,0.475,0.635,-0.156,0.255,,meanfilesD93,0.262,0.793,-0.167,0.218
meanfilesD48,-2.770,0.006,0.080,0.481,,meanfilesD94,-1.936,0.054,-0.004,0.391
meanfilesD49,-0.488,0.626,-0.155,0.256,,meanfilesD95,2.234,0.026,0.026,0.435
meanfilesD5,-0.689,0.491,-0.123,0.254,,meanfilesD96,-0.413,0.680,-0.155,0.236
meanfilesD50,1.823,0.069,-0.016,0.377,,meanfilesD97,-1.287,0.199,-0.070,0.329
meanfilesD51,2.080,0.038,0.010,0.411,,meanfilesD98,-1.027,0.305,-0.097,0.306
meanfilesD52,-1.145,0.253,-0.082,0.309,,meanfilesD99,-0.628,0.531,-0.141,0.272
meanfilesD53,0.256,0.798,-0.170,0.220,,,,,,
meanfilesD54,1.243,0.215,-0.072,0.315,,,,,Total,6.000
