file,t-value,p-value,con$_{hi}$,con$_{lo}$,,file,t-value,p-value,con$_{hi}$,con$_{lo}$
meanfilesE1,-0.369,0.712,-0.222,0.324,,meanfilesE55,-0.193,0.847,-0.233,0.284
meanfilesE10,0.412,0.681,-0.206,0.314,,meanfilesE56,-1.003,0.317,-0.134,0.411
meanfilesE100,0.617,0.538,-0.201,0.383,,meanfilesE57,-0.037,0.970,-0.290,0.302
meanfilesE11,0.481,0.631,-0.198,0.326,,meanfilesE58,-1.577,0.116,-0.055,0.494
meanfilesE12,-0.421,0.674,-0.224,0.345,,meanfilesE59,1.489,0.138,-0.073,0.524
meanfilesE13,-1.283,0.201,-0.092,0.432,,meanfilesE6,2.638,0.009,0.094,0.653
meanfilesE14,0.825,0.411,-0.163,0.397,,meanfilesE60,-0.088,0.930,-0.278,0.304
meanfilesE15,0.874,0.383,-0.150,0.389,,meanfilesE61,1.899,0.059,-0.010,0.515
meanfilesE16,0.026,0.979,-0.278,0.286,,meanfilesE62,1.690,0.093,-0.039,0.499
meanfilesE17,0.356,0.722,-0.237,0.342,,meanfilesE63,1.905,0.058,-0.010,0.535
meanfilesE18,-0.321,0.748,-0.229,0.318,,meanfilesE64,1.720,0.087,-0.035,0.514
meanfilesE19,-0.425,0.672,-0.215,0.334,,meanfilesE65,2.281,0.024,0.042,0.578
meanfilesE2,2.503,0.013,0.071,0.601,,meanfilesE66,0.499,0.618,-0.197,0.330
meanfilesE20,1.183,0.238,-0.111,0.441,,meanfilesE67,1.303,0.194,-0.099,0.485
meanfilesE21,-2.210,0.028,0.032,0.573,,meanfilesE68,2.147,0.033,0.025,0.595
meanfilesE22,0.189,0.850,-0.234,0.283,,meanfilesE69,2.787,0.006,0.120,0.702
meanfilesE23,0.310,0.757,-0.249,0.341,,meanfilesE7,-0.038,0.970,-0.297,0.308
meanfilesE24,-1.050,0.295,-0.133,0.436,,meanfilesE70,2.869,0.005,0.133,0.720
meanfilesE25,0.453,0.651,-0.248,0.396,,meanfilesE71,1.274,0.204,-0.099,0.461
meanfilesE26,0.729,0.467,-0.184,0.400,,meanfilesE72,3.547,0.000,0.229,0.806
meanfilesE27,-0.809,0.419,-0.143,0.341,,meanfilesE73,1.131,0.259,-0.124,0.455
meanfilesE28,0.141,0.888,-0.256,0.295,,meanfilesE74,1.120,0.264,-0.117,0.423
meanfilesE29,0.557,0.578,-0.209,0.373,,meanfilesE75,1.432,0.154,-0.072,0.451
meanfilesE3,0.621,0.535,-0.196,0.376,,meanfilesE76,2.356,0.019,0.051,0.583
meanfilesE30,0.227,0.821,-0.247,0.311,,meanfilesE77,2.412,0.017,0.061,0.615
meanfilesE31,0.727,0.468,-0.181,0.392,,meanfilesE78,2.039,0.043,0.009,0.576
meanfilesE32,-0.612,0.542,-0.190,0.361,,meanfilesE79,2.848,0.005,0.117,0.643
meanfilesE33,-1.522,0.130,-0.056,0.434,,meanfilesE8,0.279,0.781,-0.243,0.323
meanfilesE34,-0.084,0.933,-0.286,0.311,,meanfilesE80,1.816,0.071,-0.022,0.537
meanfilesE35,-0.589,0.557,-0.195,0.361,,meanfilesE81,0.827,0.409,-0.158,0.386
meanfilesE36,1.042,0.299,-0.140,0.453,,meanfilesE82,4.002,0.000,0.257,0.757
meanfilesE37,1.024,0.307,-0.130,0.411,,meanfilesE83,2.948,0.004,0.130,0.655
meanfilesE38,2.453,0.015,0.069,0.634,,meanfilesE84,0.324,0.746,-0.240,0.334
meanfilesE39,-0.440,0.661,-0.210,0.330,,meanfilesE85,2.182,0.030,0.032,0.632
meanfilesE4,-0.048,0.962,-0.266,0.279,,meanfilesE86,1.672,0.096,-0.046,0.553
meanfilesE40,1.564,0.119,-0.060,0.518,,meanfilesE87,1.139,0.256,-0.124,0.462
meanfilesE41,0.465,0.642,-0.208,0.337,,meanfilesE88,1.651,0.100,-0.046,0.520
meanfilesE42,0.075,0.940,-0.266,0.287,,meanfilesE89,1.565,0.119,-0.058,0.500
meanfilesE43,1.774,0.078,-0.030,0.555,,meanfilesE9,2.550,0.012,0.078,0.615
meanfilesE44,0.764,0.446,-0.164,0.371,,meanfilesE90,2.517,0.013,0.071,0.591
meanfilesE45,1.305,0.194,-0.097,0.474,,meanfilesE91,3.343,0.001,0.189,0.736
meanfilesE46,-0.871,0.385,-0.160,0.413,,meanfilesE92,1.525,0.129,-0.063,0.489
meanfilesE47,1.289,0.199,-0.093,0.443,,meanfilesE93,3.654,0.000,0.234,0.784
meanfilesE48,0.247,0.805,-0.253,0.326,,meanfilesE94,-0.207,0.836,-0.269,0.332
meanfilesE49,-0.700,0.484,-0.187,0.392,,meanfilesE95,0.556,0.579,-0.220,0.393
meanfilesE5,0.786,0.433,-0.169,0.393,,meanfilesE96,1.237,0.217,-0.096,0.417
meanfilesE50,0.048,0.962,-0.290,0.304,,meanfilesE97,2.994,0.003,0.156,0.762
meanfilesE51,0.652,0.515,-0.178,0.354,,meanfilesE98,1.877,0.062,-0.014,0.540
meanfilesE52,0.105,0.916,-0.265,0.295,,meanfilesE99,-0.308,0.758,-0.217,0.298
meanfilesE53,-2.461,0.015,0.066,0.603,,,,,,
meanfilesE54,-0.266,0.790,-0.239,0.313,,,,,Total,22.000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
